Method: GET, Route: /students, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /students, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /students, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /students/1, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /students:1, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /students/:1, user-agent: Thunder Client (https://www.thunderclient.com)
Method: POST, Route: /students/addstudent, user-agent: Thunder Client (https://www.thunderclient.com)
Method: POST, Route: /students/addstudent, user-agent: Thunder Client (https://www.thunderclient.com)
Method: POST, Route: /students/addstudent, user-agent: Thunder Client (https://www.thunderclient.com)
Method: POST, Route: /students/addstudent, user-agent: Thunder Client (https://www.thunderclient.com)
Method: PUT, Route: /db.json/:2, user-agent: Thunder Client (https://www.thunderclient.com)
Method: PUT, Route: /db.json/:2, user-agent: Thunder Client (https://www.thunderclient.com)
Method: POST, Route: /teachers/addteacher, user-agent: Thunder Client (https://www.thunderclient.com)
Method: POST, Route: /teachers/addteacher, user-agent: Thunder Client (https://www.thunderclient.com)
Method: POST, Route: /teachers/addteacher, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:empID, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:empID, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:empID, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:empID, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:empID, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:1, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:1902, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:1902, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:1902, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:1902, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:1902, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:1902, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:1902, user-agent: Thunder Client (https://www.thunderclient.com)
Method: GET, Route: /teachers/:1902, user-agent: Thunder Client (https://www.thunderclient.com)
